18,sandra-bullock-los-oscar-2015.jpg,"Sandra Bullock","REUTERS/Adrees Latif","La actriz de 'Gravity', que optaba al Oscar a la mejor actriz protagonista, tiró un de un clásico: Alexander McQueen, con este vestido azul noche de escote corazón con un original recogido en el lado izquierdo.",18
19,joseph-gordon-levitt-los-oscar-2015.jpg,"Joseph Gordon Levitt","AFP PHOTO / Robyn BECK","El director y actor de 'Don Jon' es siempre uno de nuestros favoritos en la alfombra roja de los Oscar y ha dado en el clavo con este original esmoquin estampado y de un solo botón.",19
20,julia-roberts-los-oscar-2015.jpg,"Julia Roberts","Jason Merritt/Getty Images/AFP","Julia Roberts, nominada por su trabajo en 'Agosto', eligió un vestido de alta costura de Givenchy. Un diseño de cuerpo cruzado con profundo escote en V de encaje negro y detalle 'peplum' en la cadera. Sofisticada, sexy y romántica. ¡Un 10!",20
21,julie-delpy-los-oscar-2015.jpg,"Julie Delpy","AFP PHOTO / Robyn BECK","Julie Delpy, con diseño de Jenny Packham joyas de Chopard y ondas muy suaves en el cabello.",21
22,kate-hudson-los-oscar-2015.jpg,"Kate Hudson","EFE/EPA/MIKE NELSON","La actriz quiso devolvernos el viejo Hollywood con este sofisticado vestido metalizado de Atelier Versace. Soberbia sobre la alfombra roja de los Oscar con este escote en V y cintura drapeada con nudo bajo, espalda abierta, hombros estructurados en forma de capa y una pequeña cola. Las joyas son de Neil Lane.",22
23,lady-gaga-los-oscar-2015.jpg,"Lady Gaga","EFE/Víctor Lerena","Cómo se arriesgó Lady Gaga en la alfombra roja de los Oscar 2014. Ahora que ha anunciado su compromiso con Taylor Kinney, con qué nos sorprenderá en la gran noche del cine en Hollywood. ",23
24,leonardo-di-caprio-los-oscar-2015.jpg,"Leonardo Di Caprio","REUTERS/Lucas Jackson ","Discreto y sobrio, pero siempre un ganador. Así lució Leonardo Di Caprio sobre la alfombra roja de los Oscar de 2014, donde no pudo llevarse el Oscar por su papel en 'El lobo de Wall Street'. ",24
25,anne-hathaway-los-oscar-2015.jpg,"Anne Hathaway","REUTERS/Lucas Jackson","Plata y negro. Esos fueron los colores que eligió Anne Hathaway para su vestido de crepé de seda de Gucci. El cuerpo columna, de cuello 'halter', destacaba por los detalles de cristal en el pecho y cintura. ",3
26,matthew-mcconaughey-los-oscar-2015.jpg,"Matthew Mcconaughey","AFP PHOTO / Robyn BECK","El ganador del Oscar al mejor actor protagonista por su papel en 'Dallas Buyers Club', Matthew McConaughey, eligió el color blanco para su look sobre la alfombra roja. El actor optó por un esmoquin blanco de Dolce & Gabbana con chaleco ancho y pajarita negra de satén.",26
27,meryl-streep-los-oscar-2015.jpg,"Meryl Streep","REUTERS/Javier Barbancho","La actriz Meryls Streep fue de las pocas que optó por un bicolor. Su apuesta, Prabal Gurung, marcó la diferencia sobre la alfombra roja. ",27
28,michael-fassbender-los-oscar-2015.jpg,"Michael Fassbender","Jason Merritt/Getty Images/AFP","Atrevidísima la madre de Michael Fassbender con ese vestido de trasnparencias nude y rojo. Su pequeño vástago, sobrio con un esmoquín de solapa ancha de lo más apropiado.",28
29,naomi-watts-los-oscar-2015.jpg,"Naomi Watts","Jason Merritt/Getty Images/AFP","La actriz Naomi Watts lució un impresionante vestido de silueta recta de Calvin Klein Collection con manga japonesa. ¿Con qué nos sorprenderá esta vez en al alfombra roja?",29
30,olivia-wilde-los-oscar-2015.jpg,"Olivia Wilde","Jason Merritt/Getty Images/AFP","Olivia Wilde destacó como nadie sobre la alfombra roja con este espectacular Valentino de cuello alto, espalda abierta y sin mangas. Embarazada, y de muchos meses, Olivia apostó por un total look blanco y negro y lo continúa con los complementos; anillo, pendientes y brazaletes de Lorraine Schwartz.",30
31,penelope-cruz-los-oscar-2015.jpg,"Penelope Cruz","REUTERS/Adrees Latif","Penélope Cruz estaba radiante con este vestido de muselina color rosa palo de Giambattista Valli. Un escote asimétrico con capa en la espalda, que ella empleó como chal y que le confirió un efecto romántico. ¿Cuál será la apuesta de Penélope Cruz este año para la alfombra roja de los Oscar?",31
32,portia-de-rossi-los-oscar-2015.jpg,"Portia De Rossi","REUTERS/Adrees Latif","Portia de Rossi optó por un diseño geométrico de Naeem Khan en tonos crema y nude.",32
