id;name;image;search;twitter;twitter2;instagram
63;Assumpta Serna;assumpta-serna.jpg;Assumpta Serna, assumptaserna;https://twitter.com/assumptaserna;;
64;Celia Freijeiro;celia-freijeiro.jpg;Celia Freijeiro, CeliaFreijeiro;https://twitter.com/CeliaFreijeiro;;
65;Carlos Santos;carlos-santos.jpg;Carlos Santos, carlos_santos_r;https://twitter.com/carlos_santos_r;;http://instagram.com/carlossantosr
66;Carmen Ruiz;carmen-ruiz.jpg;Carmen Ruiz, _CarmenRuiz;https://twitter.com/_CarmenRuiz;;http://instagram.com/carmenruiz
67;Nacho Vigalondo;nacho-vigalondo.jpg;Nacho Vigalondo, vigalondo;https://twitter.com/vigalondo;;
68;Concha Velasco;concha-velasco.jpg;Concha Velasco;;;
69;Andrea Duro;andrea-duro.jpg;Andrea Duro, AndreaDuro66;https://twitter.com/AndreaDuro66;;http://instagram.com/andreaduro
70;Aitana Sánchez Gijón;aitana-sanchezgijon.jpg;Aitana Sánchez Gijón;;;
71;Paco León;paco-leon.jpg;Paco León, pacoleonbarrios;https://twitter.com/pacoleonbarrios;;http://instagram.com/pacoleon
72;Ana Belén;ana-belen.jpg;Ana Belén;;;
73;Juan Antonio Bayona;juanantonio_bayona.jpg;Juan Antonio Bayona, FilmBayona;https://twitter.com/FilmBayona;;
74;Pablo Berger;pablo_berger.jpg;Pablo Berger;;;
75;Jose Coronado;jose-coronado.jpg;Jose Coronado, _josecoronado_;https://twitter.com/_josecoronado_;;
76;Paula Echevarría;paula-echevarria.jpg;Paula Echevarría;;;http://instagram.com/pau_eche
77;Toni Acosta;toni-acosta.jpg;Toni Acosta, AcostaToni;https://twitter.com/AcostaToni;;http://instagram.com/acostatoni
78;Dolores promesas;;Dolores promesas, dolorestweets;https://twitter.com/dolorestweets;;http://instagram.com/alipromesas
79;Carrera y Carrera;;Carrera y Carrera, CarrerayCarrera;https://twitter.com/CarrerayCarrera;;http://instagram.com/carreraycarreraofficial
80;GermainedeCapuccini;;GermainedeCapuccini, Germaine_Esp;https://twitter.com/Germaine_Esp;;http://instagram.com/Germaine_Esp
81;Quim Gutierrez;quim-gutierrez.jpg;Quim Gutierrez, quimyo;https://twitter.com/quimyo;;http://instagram.com/quimyo
82;Nieves Álvarez;nieves-alvarez.jpg;Nieves Álvarez, officialnievesa, NievesAlvarez;https://twitter.com/OfficialNievesA;;http://instagram.com/officialnievesa
83;Norma Ruiz;norma-ruiz.jpg;Norma Ruiz;;;http://instagram.com/Normaruizita
84;Canco Rodriguez;canco-rodriguez.jpg;;https://twitter.com/cancorodriguez;;
85;Manuela Vellés;;Manuela Vellés;https://twitter.com/manuela_velles;;http://instagram.com/manuelavelles
